train_acc,test_acc,loss
83.76166666666667,84.17999999999999,861.7626020908356
92.19166666666668,92.12,738.9779652357101
92.19000000000001,91.97,724.8639550209045
93.25,93.38,718.5141532421112
95.20166666666667,95.14,713.4020957946777
95.44500000000001,95.13000000000001,709.7768496274948
96.285,95.83,707.3773980140686
96.10833333333333,95.78999999999999,705.1044853925705
96.505,96.22,703.5603671073914
97.02666666666667,96.50999999999999,702.2535674571991
97.08666666666666,96.49,701.7009384632111
96.83166666666668,96.22,700.7987921237946
97.43166666666667,96.82,699.7055721282959
97.61,96.83,698.4455624818802
96.88666666666667,96.21,698.283083319664
97.30666666666666,96.64,697.4008001089096
97.78333333333333,97.02,696.674022436142
97.45833333333334,96.84,696.2966787815094
97.17166666666667,96.59,696.1999980211258
98.08833333333334,97.1,696.0006821155548
98.13833333333334,97.32,695.5494530200958
98.24166666666667,97.39,694.4176408052444
98.36666666666667,97.41,694.2026290893555
97.91833333333332,96.74000000000001,693.9731842279434
98.31333333333333,97.49,693.5609211921692
98.48,97.49,693.8957958221436
98.33333333333333,97.37,693.6690106391907
98.63333333333333,97.68,693.0326936244965
98.42999999999999,97.47,692.905953168869
98.79666666666667,97.63,692.7334209680557
